Brand,Model,Fuel,Mileage,Year,Price
MG,GS Luxe,Essence,115000,2017,62000
Mitsubishi,ASX 4WD,Essence,55000,2021,122800
Land Rover,Discovery,Diesel,130000,2017,126000
Audi,A5 Sportback,Essence,70000,2021,185000
BMW,Série 7 Individuel,Essence,300000,2008,45000
Land Rover,Range Rover Sport,Diesel,160000,2014,245000
BMW,Série 4 Coupé,Essence,78000,2017,110000
MG,GS Luxe Plus,Essence,100000,2017,61000
Peugeot,RCZ,Essence,171000,2011,40000
Land Rover,Discovery Sport,Diesel,94000,2016,118000
Volkswagen,Amarok AWD,Diesel,180000,2016,87000
BMW,Série 7 740I FACE-LIFT,Essence,220000,2008,55000
Ford,Ecosport Titanium,Essence,67000,2022,69000
Toyota,Corolla Cross Hybride High,Hybride,36000,2022,120000
MG,ZS Confort Plus,Essence,141000,2019,58000
KIA,Sportage,Essence,150000,2019,85000
BMW,Série 3 coupé Kit M///,Essence,152000,2012,74000
Mercedes-Benz,Classe C AMG,Essence,200000,2011,71000
Audi,A5 Coupé,Essence,109000,2014,75000
KIA,Rio 5p SX,Essence,35000,2020,58500
BMW,Série 1 Business Line,Essence,251000,2012,36500
Volkswagen,Golf 7 Sound,Essence,125000,2018,78000
Mercedes-Benz,CLA AMG,Hybride,25000,2021,170000
Mercedes-Benz,Classe A AMG,Hybride,35000,2020,135000
Peugeot,308,Essence,102000,2020,50000
Ford,Ecosport Titanium,Essence,44000,2022,67000
Fiat,500 Cult Club,Essence,3000,2023,62000
Mercedes-Benz,Classe A AMG,Essence,60000,2021,115000
Volkswagen,Tiguan R-Line,Essence,160000,2019,110000
Volkswagen,Scirocco,Essence,200000,2010,40000
Audi,A5 Sportback,Essence,80000,2019,115000
Hyundai,Tucson,Diesel,81000,2018,100000
Land Rover,Discovery,Essence,110000,2016,125000
Mercedes-Benz,Classe A,Essence,90000,2021,110000
Hyundai,Tucson Hybride Top Grade,Diesel,16000,2023,178000
Peugeot,508,Essence,145000,2018,51000
Mercedes-Benz,Classe C coupé AMG,Essence,120000,2019,145000
Land Rover,Range Rover Sport,Diesel,90000,2017,230000
Porsche,Cayenne,Essence,158000,2015,220000
BMW,Série 3,Essence,210000,2015,67000
Mercedes-Benz,Classe A,Essence,50000,2020,108000
Mercedes-Benz,Classe C,Essence,180000,2013,66000
Renault,Kadjar,Essence,98000,2021,83000
Land Rover,Range Rover Sport,Diesel,208000,2007,85000
Audi,Q3,Hybride,40000,2023,200000
KIA,Sorento,Diesel,120000,2016,95000
KIA,Sportage,Diesel,140000,2018,118000
KIA,Rio 5p SX PLUS,Essence,99000,2020,53000
Wallyscar,719,Essence,86573,2023,47100
Renault,Megane Sedan,Essence,46000,2019,61000
Ford,Ecosport,Essence,19000,2022,78000
Mercedes-Benz,ML,Diesel,250000,2007,58000
Ford,Focus Trend Sport,Essence,180000,2014,36000
Toyota,Prado Adventure,Diesel,330000,1999,65000
Peugeot,207 Access Plus,Diesel,290000,2011,27500
Mercedes-Benz,CLA,Diesel,60000,2021,145000
Hyundai,ix35 Toit Panoramique,Diesel,160000,2016,63500
Volkswagen,Polo Sedan Trendline,Essence,170000,2020,41300
Mercedes-Benz,Classe A AMG,Essence,180000,2014,68500
Mercedes-Benz,GLC Coupé AMG,Essence,0,2024,420000
Mercedes-Benz,Classe C,Essence,200000,2014,105000
Ssangyong,Tivoli Confort Plus,Essence,4700,2018,65000
Mini,3 portes John Cooper Works,Essence,100000,2017,63000
Toyota,Hilux Double Cabine D4D,Diesel,140000,2020,168000
Land Rover,Range Rover Evoque HSE,Hybride,60000,2022,255000
Mercedes-Benz,Classe A Berline AMG,Essence,100000,2020,132000
Land Rover,Range Rover Sport Autobiography,Hybride,60000,2021,385000
Mercedes-Benz,CLA AMG,Essence,0,2024,220000
Porsche,Cayenne Coupé GTS,Hybride,70000,2020,480000
Mercedes-Benz,GLE Coupé,Hybride,30000,2022,450000
Mercedes-Benz,Classe E AMG,Hybride,70000,2020,260000
Mercedes-Benz,GLC Coupé AMG,Hybride,80000,2021,270000
BMW,Série 4 Gran Coupé KIT-M-individual,Essence,120000,2016,145000
Mercedes-Benz,CLA,Diesel,130000,2017,115000
Audi,A3 Sportback 1.5,Hybride,900,2023,145000
Tesla,Model 3 Modèle 3 Highland 2024,Electrique,15000,2023,190000
Mercedes-Benz,GLC AMG,Hybride,130000,2018,197000
Mercedes-Benz,Classe E,Diesel,158000,2020,168000
Nissan,Qashqai,Diesel,147000,2016,56000
Hyundai,Tucson,Essence,37000,2022,145000
Audi,Q2 Design,Essence,77000,2019,95000
KIA,Rio 5p,Essence,51000,2021,62000
Toyota,C-HR,Essence,71000,2021,85000
KIA,Sportage Black Edition,Essence,117000,2018,78000
Mahindra,KUV 100 K6+,Essence,90000,2021,26000
Toyota,C-HR,Essence,165000,2020,75000
Ford,Fiesta Trend,Essence,161000,2013,28000
BMW,Série 4 Coupé M,Essence,85000,2019,150000
Renault,Megane Sedan,Essence,70000,2021,60000
Mazda,CX-9 High grade,Essence,155000,2019,104000
Ford,Fiesta Titanium,Essence,223000,2013,29500
Peugeot,Partner,Diesel,320000,2009,26000
Suzuki,Celerio,Essence,45000,2022,37900
Mercedes-Benz,CLA AMG,Essence,100000,2020,144900
MG,HS Trophy,Essence,111000,2022,90000
Seat,Ibiza,Essence,83000,2019,41500
Ssangyong,Tivoli,Essence,235000,2018,48000
Mahindra,KUV 100 K6+,Essence,59000,2022,32500
Hyundai,H-1,Essence,999999,2006,18000
Nissan,Micra,Essence,130000,2017,29500
BMW,Serie 1,Essence,240000,2007,28600
Fiat,Doblo,Diesel,160000,2020,25800
Mercedes-Benz,Classe C,Essence,207600,2014,78000
Kia,Cerato,Essence,14400,2015,39500
Kia,Rio,Essence,90000,2021,55500
Volkswagen,Polo,Essence,140000,2021,44500
Renault,Clio,Essence,116000,2012,30500
Citroen,C5,Essence,250,2024,950
Peugeot,207,Essence,229999,2012,17500
Citroen,Nemo,Diesel,420000,2014,20000
Peugeot,306,Essence,202000,2000,13500
Citroen,C3,Essence,97000,2018,34000
SsangYong,Actyon,Diesel,424000,2015,29000
Opel,Corsa,Essence,312,,9000
Volkswagen,Golf 5,Essence,170000,2007,1111
Peugeot,3008,Essence,100000,2019,66500
Peugeot,Partner,Diesel,70000,2020,78000
Skoda,Fabia,Essence,130000,2021,41500
BMW,Serie 4,Essence,150000,2019,105000
BMW X,4,Essence,62000,2016,152000
Fiat,Tipo,Essence,113000,2020,53000
Renault,Megane,Essence,150000,2020,48500
Ford,Focus,Essence,60000,2020,79000
Nissan,Juke,Essence,27000,2023,82000
Peugeot,2008,Essence,117000,2018,44000
Nissan,Micra,Essence,74300,2020,33800
Mercedes-Benz,Classe E,Essence,197000,2010,67000
Audi,A6,Essence,166920,2016,55000
Hyundai,i10,Essence,65000,2023,41000
Kia,Sportage,Essence,45000,,96000
Jeep,Compass,Essence,64000,2020,1111
BMW,Serie 4,Essence,150000,2019,1111
Land Rover,Range Rover Sport,Hybride,42000,2020,1111
Fiat,Panda,Essence,130000,2022,38500
Ford,Focus,Essence,120000,2016,42000
Kia,Sportage,Essence,160000,2017,75000
Fiat,500C,Essence,71000,2017,45500
Citroen,DS5,Essence,110000,2017,61500
Citroen,C3,Essence,98270,2018,42000
Kia,Sportage,N.C,54000,2020,117000
Volkswagen,Passat,Essence,140000,2016,58000
Peugeot,2008,Essence,90000,2019,54000
Chery,QQ,Essence,104000,2019,22800
Peugeot,208,Essence,78000,2021,45500
Audi,A3,Essence,98000,2020,78000
Opel,Corsa,Essence,266000,2000,13500
SEAT,Leon,Essence,61847,2019,70000
Citroen,C3,Essence,58000,2021,35500
Kia,Picanto,Essence,28000,2021,46500
MG,ZS,Essence,13,2024,90000
Nissan,Navara,Diesel,315000,2012,47000
Peugeot,508,Essence,268000,2012,30000
Renault,Clio,Essence,110000,2016,40500
Renault,Megane,Diesel,350000,2007,19500
Kia,Rio,Essence,170000,2021,48500
Renault,Clio,Essence,80000,2021,42500
Renault,Clio,Essence,300000,1993,8500
Renault,Clio,Essence,,2023,400
Citroen,C-Elysee,Essence,70000,2020,36500
Volkswagen,Polo,Essence,,2022,52000
Mazda,BT-50,Essence,190000,2015,120000
Nissan,Micra,Essence,160000,2013,26000
Kia,Rio,Essence,48000,2024,61500
Opel,Corsa,Essence,350000,2000,12800
Mazda,CX-9,Essence,286000,2010,46000
Renault,Clio,Essence,91300,2020,41000
SsangYong,Tivoli,Essence,74000,2020,61000
Mercedes-Benz,Classe CLA,Essence,170000,2014,77500
BMW X,5,Diesel,280000,2008,67500
Toyota,Aygo,Essence,90000,2021,40900
Peugeot,205,Essence,111000,1993,9000
Peugeot,207,Diesel,290000,2011,27500
Renault,R4,Essence,57000,1980,1000
Renault,Clio,Essence,123000,2005,10000
Hyundai,Santa Fe,Diesel,48000,2020,190000
Peugeot,206,Essence,,2001,19000
Fiat,Fiorino,Diesel,112000,2019,32000
Mercedes-Benz,Classe C,Essence,9000,2021,173000
Chevrolet,Spark,Essence,121000,2015,27000
Peugeot,308,Essence,168000,2015,35000
SEAT,Ibiza,Essence,205000,2020,37000
Hyundai,i20,Essence,72000,2022,51500
Citroen,C3,Essence,195540,2007,19700
Toyota,C-HR,Essence,711000,2021,85000
Volkswagen,Polo,Essence,47000,2006,25000
Hyundai,i10,Essence,88000,2018,33000
Citroen,Berlingo,Diesel,76470,2015,38500
Mercedes-Benz,Classe A,Essence,10000,2002,220000
Volkswagen,Caddy,Diesel,124000,2020,64000
Peugeot,Partner,Diesel,282000,2016,33000
BMW X,5,Essence,154000,2009,65000
Peugeot,208,Essence,113000,2017,30000
Volkswagen,Passat,Diesel,300000,2013,56000
Toyota,C-HR,Essence,165000,2020,75000
Renault,Megane,Essence,60000,2021,60000
Mercedes-Benz,Classe A,Essence,100000,2002,25000
Peugeot,206,Diesel,,2003,8000
Peugeot,301,Essence,106000,2014,22000
Peugeot,301,Essence,170000,2015,24500
Suzuki,Swift,Essence,49500,2019,42500
Kia,Picanto,Essence,74000,2020,42300
Kia,Picanto,Essence,77000,2021,40000
Fiat,Grande Punto,Essence,194500,2014,26500
Peugeot,308,Essence,180000,2015,32000
Renault,Clio,Essence,105000,2020,43000
Renault,Clio,Essence,200000,2010,24800
Volkswagen,Polo,Essence,92500,2021,42500
Volkswagen,Passat,Diesel,,2000,28000
Chevrolet,Aveo,Essence,258000,2005,15500
Renault,Symbol,Essence,390000,2010,15500
Volkswagen,Golf 7,Essence,75000,2020,175000
BMW,Serie 3,Essence,248000,2007,33500
Hyundai,Accent,Essence,141000,2016,38000
Nissan,Micra   1ère main,Essence,,2020,33800
Great-wall,MK-GT,Essence,,2021,45500
Peugeot,308,Essence,,2015,32000
Mazda,MAZDA6,Essence,,2018,61
Audi,Q3,Essence,,2019,95000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Great-wall,MK-GT,Essence,,2021,45500
Peugeot,308,Essence,,2015,32000
Mazda,MAZDA6,Essence,,2018,61
Audi,Q3,Essence,,2019,95000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Peugeot,308,Essence,,2015,32000
Mazda,MAZDA6,Essence,,2018,61
Audi,Q3,Essence,,2019,95000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Mazda,MAZDA6,Essence,,2018,61
Audi,Q3,Essence,,2019,95000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Peugeot,206,Essence,,2012,23500
Audi,Q3,Essence,,2019,95000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Peugeot,206,Essence,,2012,23500
Peugeot,3008,Essence,,2020,105000
Volkswagen,Golf 6,Diesel,,2010,38500
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Peugeot,206,Essence,,2012,23500
Peugeot,3008,Essence,,2020,105000
Mercedes,Classe C,Essence,,2012,80000
Peugeot,405,Diesel,,1971,22000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Peugeot,206,Essence,,2012,23500
Peugeot,3008,Essence,,2020,105000
Mercedes,Classe C,Essence,,2012,80000
Renault,Clio,Essence,,2021,44000
Peugeot,508,Diesel,,2019,95000
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
Volkswagen,Golf,Diesel,,2012,33500
Audi,A4,Essence,,2012,37
Peugeot,207,Essence,,2012,26500
Citroen,C4,Essence,,2012,25000
Ford,focus a vendre,,,,30000
Mercedes,Classe Glk,Essence,,2009,80000
Volkswagen,Jetta,Essence,,2011,34500
Peugeot,206,Essence,,2012,23500
Peugeot,3008,Essence,,2020,105000
Mercedes,Classe C,Essence,,2012,80000
Renault,Clio,Essence,,2021,44000
Volkswagen,Golf 3,Diesel,,1995,15800
CLIO,4 PREMIÈRE MAIN EN TRÈS BON ÉTAT,,,,41500
Mahindra,KUV 100,Essence,,2018,25000
Mahindra,KUV 100,Essence,,2018,26800
Volkswagen,Golf,Essence,,2019,65000
Skoda,Octavia,Essence,,2015,41000
Hyundai,I10,Essence,,2020,33
Kia,RIO,Essence,,2015,37000
Opel,Corsa,Essence,,1999,11000
Volkswagen,T-ROCK,Essence,,2019,95
Ssangyong,Tivoli,Essence,,2021,65
Chery,QQ,Essence,,2018,21000
Dacia,SANDERO,Essence,,2014,36
Peugeot,208,Essence,,2016,28000
Mercedes,Classe C,Essence,,2016,90
Volkswagen,Polo,Essence,,2001,16000
Volkswagen,Polo,Essence,,1998,13200
Renault,Clio,Essence,,2003,11111
Chevrolet,AVEO,Essence,,2012,18000
Kia,RIO,Essence,,2018,41000
Peugeot,108,Essence,,2017,30000
Ssangyong,Actyon,Diesel,,2017,50
Peugeot,106,Essence,,1994,111
Peugeot,208,Essence,,2019,34
Suzuki,Swift,Essence,,2018,34
Hyundai,I20,Essence,,2016,34000
Chery,Tiggo 2,Essence,,2020,42500
Audi,A4,Essence,,2013,45000
Honda,CIVIC,Essence,,2020,80000
Fiat,PALIO WEEKEND,Essence,,2008,14500
Peugeot,106,Essence,,1997,11900
Ford,AUTRE,Essence,,2013,20500
Kia,RIO,Essence,,2022,63500
Bmw,AUTRE,Diesel,,2009,1
Renault,Clio,Essence,,2024,62500
